WaterBodyID,WaterBodyType,WaterBodyTypeName,Latitude,Longitude,Temperature_C,Salinity_PSU,pH,DissolvedOxygen_mgL,Turbidity_NTU,Chlorophyll_μgL,Problem
SEA-EM-016,EM,河口混合区,31.93050366078154,120.91453032322745,19.9,23.8,7.8,6.6,33.6,14.34,藻类过度生长
SEA-OS-017,OS,开阔大洋,26.375493160325167,122.54859799132193,15.7,37.3,9.0,5.8,0.3,0.24,高盐度胁迫
SEA-CB-018,CB,珊瑚礁海域,17.3852172843576,113.25271669057727,25.6,34.6,8.05,5.8,4.1,0.56,浑浊度过高
SEA-CM-019,CM,海草/海藻床,39.622408353472004,119.1412789514879,25.3,34.4,7.66,9.0,4.2,7.41,热浪影响
SEA-EM-020,EM,河口混合区,30.68124913892848,120.5213890564718,26.7,14.5,8.39,4.5,75.1,6.38,泥沙淤积严重
SEA-AF-021,AF,人工渔场/养殖区,21.750049347648314,114.74163203703174,17.7,35.2,8.78,6.7,16.4,20.48,碱性过高
SEA-EM-022,EM,河口混合区,31.353539808848605,120.96504189928528,19.2,40.0,7.41,4.8,41.4,11.99,高盐度胁迫
SEA-AF-023,AF,人工渔场/养殖区,23.600606115932525,115.51544229129196,19.7,28.4,8.35,7.3,34.1,14.13,碱性过高
SEA-EM-024,EM,河口混合区,30.700436493400627,121.4163623911664,19.3,19.2,7.31,7.8,43.4,10.08,酸化趋势
SEA-EM-025,EM,河口混合区,31.36207885419382,120.47501294258494,24.9,2.0,8.08,7.0,67.5,14.77,泥沙淤积严重
SEA-AF-026,AF,人工渔场/养殖区,21.49864629572776,113.65042731975947,16.7,34.8,7.99,5.5,17.6,15.74,藻类过度生长
SEA-EM-027,EM,河口混合区,30.519899725708527,120.90648169365767,27.4,8.2,7.16,5.4,36.4,3.47,低盐胁迫
SEA-AF-028,AF,人工渔场/养殖区,22.13021690981382,115.24873489992822,22.6,28.3,8.03,4.4,29.9,20.6,鱼类缺氧危机
SEA-CM-029,CM,海草/海藻床,38.41009065701305,118.0028848790236,20.4,30.6,8.32,8.7,3.2,5.57,底栖生物多样性降低
SEA-CM-030,CM,海草/海藻床,38.26803045690128,117.55756535262668,25.9,36.5,8.01,9.9,10.1,7.08,热浪影响
SEA-EM-031,EM,河口混合区,31.244173400455747,121.7247274174935,24.6,18.2,7.75,2.7,35.2,20.18,富营养化
SEA-EM-032,EM,河口混合区,31.793576819812024,120.94792328052574,16.3,24.5,7.7,4.7,34.2,5.32,悬浮物增加
SEA-AF-033,AF,人工渔场/养殖区,22.534971040641786,113.47093304814858,23.3,27.5,8.02,4.6,49.8,11.49,鱼类缺氧危机
SEA-OS-034,OS,开阔大洋,27.58865533001633,122.31460749959744,15.9,37.1,8.78,6.7,0.8,0.32,高盐度胁迫
SEA-EM-035,EM,河口混合区,31.473644950789826,121.11548453190088,24.1,1.3,7.58,4.0,99.7,10.37,泥沙淤积严重
SEA-EM-036,EM,河口混合区,30.17577524908029,121.61172977348228,16.0,19.4,7.61,4.8,77.2,13.13,泥沙淤积严重
SEA-CM-037,CM,海草/海藻床,39.05968004636223,118.9144601912889,18.1,35.1,8.22,8.0,14.9,3.68,底栖生物多样性降低
SEA-EM-038,EM,河口混合区,30.823681828294536,120.69773653308599,20.5,24.3,8.33,8.9,30.0,24.72,富营养化
SEA-CM-039,CM,海草/海藻床,38.717660968247,119.25440108162621,23.6,30.3,7.26,6.4,8.2,13.23,酸化趋势
SEA-CM-040,CM,海草/海藻床,39.24847599182799,117.73379608141673,19.2,33.8,7.6,8.0,15.6,10.35,酸化趋势
SEA-OS-041,OS,开阔大洋,26.134129738943116,123.70966905461395,19.4,36.2,8.58,5.2,1.4,0.17,初级生产力不足
SEA-CM-042,CM,海草/海藻床,39.08544888669519,118.00359811781391,18.9,29.8,8.26,9.2,14.7,5.9,底栖生物多样性降低
SEA-CM-043,CM,海草/海藻床,38.74887073944085,117.63784307873443,20.8,30.1,7.97,8.7,14.9,11.92,藻类过度生长
SEA-EM-044,EM,河口混合区,31.20744306346028,120.22853460011137,26.1,7.0,8.19,5.9,64.6,8.78,泥沙淤积严重
SEA-OS-045,OS,开阔大洋,26.850723137364906,123.54552104722043,19.3,36.0,8.76,5.7,0.4,0.23,高盐度胁迫
SEA-EM-046,EM,河口混合区,31.249951974102103,120.75545189488034,20.0,5.7,8.63,5.4,49.2,1.92,低盐胁迫
SEA-OS-047,OS,开阔大洋,27.089207418881198,124.69229122945666,26.0,35.4,8.07,6.2,0.8,0.3,异常升温
SEA-EM-048,EM,河口混合区,31.441626192621012,121.61062993471582,29.8,19.3,7.36,3.3,49.5,14.47,酸化趋势
SEA-CM-049,CM,海草/海藻床,39.65021466284532,118.22611842439018,25.3,30.7,8.49,7.5,2.4,12.01,热浪影响
SEA-OS-050,OS,开阔大洋,28.795383412643616,123.20765013079094,19.0,30.9,7.77,5.0,1.9,0.35,酸化风险
SEA-CM-051,CM,海草/海藻床,38.994929787959784,118.94040516326459,20.2,30.3,7.64,9.6,9.1,8.7,酸化趋势
SEA-OS-052,OS,开阔大洋,26.737483682715855,122.27101088173282,16.6,39.6,8.25,7.7,1.3,0.3,高盐度胁迫
SEA-EM-053,EM,河口混合区,31.910472625446957,120.30934428176647,15.9,20.9,7.0,5.8,62.1,11.31,泥沙淤积严重
SEA-OS-054,OS,开阔大洋,28.08520266965428,122.26011563558654,17.6,37.4,8.51,6.4,1.6,0.48,高盐度胁迫
SEA-CB-055,CB,珊瑚礁海域,18.924094685833126,111.34819319449942,27.5,30.8,8.17,7.7,1.7,0.28,珊瑚生长缓慢
SEA-AF-056,AF,人工渔场/养殖区,22.019624891304197,115.17430031458629,23.8,26.8,8.33,4.6,31.4,8.19,鱼类缺氧危机
SEA-AF-057,AF,人工渔场/养殖区,22.205792740827725,114.43962686091173,21.8,31.1,7.43,4.2,32.4,11.84,鱼类缺氧危机
SEA-CB-058,CB,珊瑚礁海域,17.537306588638728,114.75753097885149,29.1,32.8,7.93,5.8,2.1,0.48,珊瑚生长缓慢
SEA-OS-059,OS,开阔大洋,28.519111691984612,122.64897206910966,20.7,36.8,7.49,5.9,0.9,0.57,酸化风险
SEA-AF-060,AF,人工渔场/养殖区,22.17350929824114,113.81887812456894,22.3,30.8,8.52,5.9,20.5,27.34,碱性过高
SEA-EM-061,EM,河口混合区,31.0875578159948,121.72898576061469,22.5,15.2,7.92,6.9,79.0,15.24,泥沙淤积严重
SEA-EM-062,EM,河口混合区,31.75814296045626,120.01029034150943,21.7,13.8,8.47,6.5,39.0,12.96,碱化趋势
SEA-CB-063,CB,珊瑚礁海域,16.07371087495287,113.02568548724759,28.4,36.7,8.28,5.0,1.9,0.29,高盐度胁迫
SEA-CM-064,CM,海草/海藻床,39.18879171845709,118.26722452081124,26.2,31.5,7.82,6.5,20.4,7.13,热浪影响
SEA-AF-065,AF,人工渔场/养殖区,23.572080276277497,115.89356141681063,25.6,32.4,7.25,5.4,33.5,19.58,酸化趋势
SEA-EM-066,EM,河口混合区,30.40740249855255,120.18232898081239,22.8,20.7,7.31,10.4,18.7,15.17,富营养化
SEA-AF-067,AF,人工渔场/养殖区,22.954558400406793,113.97777639185622,24.7,38.3,8.8,2.5,20.2,11.58,鱼类缺氧危机
SEA-CM-068,CM,海草/海藻床,38.964712763103186,117.92069915983774,27.3,30.6,8.61,8.4,6.6,6.34,热浪影响
SEA-AF-069,AF,人工渔场/养殖区,22.838832524596818,113.89650765901195,29.2,28.6,7.87,6.5,46.1,34.44,藻类过度生长
SEA-OS-070,OS,开阔大洋,27.917115714305147,123.84722606582673,17.1,28.3,8.61,6.1,1.7,0.4,碱化趋势
SEA-EM-071,EM,河口混合区,30.836799577335306,120.40715656068448,22.7,2.1,7.51,6.8,18.6,11.62,低盐胁迫
SEA-CM-072,CM,海草/海藻床,38.79103033969803,118.71237742712235,25.0,35.1,7.83,9.0,7.2,4.47,海草覆盖率下降
SEA-CM-073,CM,海草/海藻床,39.74149980254502,118.39061051000533,17.7,32.1,7.6,7.4,1.8,7.71,酸化趋势
SEA-EM-074,EM,河口混合区,30.472100926692928,120.14699349466002,18.3,23.8,8.04,6.7,33.8,13.15,藻类过度生长
SEA-CM-075,CM,海草/海藻床,39.61134030590011,118.6707087287935,19.7,33.8,8.04,8.2,16.2,6.67,底栖生物多样性降低
SEA-CB-076,CB,珊瑚礁海域,16.593372803848354,116.90641086071193,28.7,35.0,8.02,6.7,1.3,0.64,微量白化现象
SEA-CB-077,CB,珊瑚礁海域,16.708599157789543,114.84838166558315,27.0,40.0,8.53,5.6,3.3,0.37,高盐度胁迫
SEA-AF-078,AF,人工渔场/养殖区,21.319779090923973,114.9735359138091,27.1,32.4,8.22,3.4,51.3,7.61,鱼类缺氧危机
SEA-AF-079,AF,人工渔场/养殖区,22.3067499444388,115.45350264852506,19.2,24.3,7.69,4.9,27.9,25.49,鱼类缺氧危机
SEA-OS-080,OS,开阔大洋,27.51914312071692,124.59000094871547,12.1,40.0,7.78,5.9,0.8,0.78,酸化风险
SEA-CM-081,CM,海草/海藻床,38.202841656898435,118.47174351837265,21.3,29.4,8.34,7.4,6.5,10.43,藻类过度生长
SEA-CM-082,CM,海草/海藻床,38.36287669539125,118.55032676733413,18.8,34.0,7.18,7.6,12.7,5.66,酸化趋势
SEA-AF-083,AF,人工渔场/养殖区,23.652619390045224,113.6842393158468,23.4,25.4,8.5,5.1,35.5,20.35,碱性过高
SEA-EM-084,EM,河口混合区,31.247718649353146,120.90353535747445,17.5,25.9,7.96,8.7,30.7,13.05,藻类过度生长
SEA-CB-085,CB,珊瑚礁海域,17.98706743543668,116.91449864150421,31.6,32.1,7.3,4.8,4.5,0.08,珊瑚白化风险
SEA-AF-086,AF,人工渔场/养殖区,21.679969206680965,114.06498891749581,25.8,29.8,7.88,4.0,20.1,9.21,鱼类缺氧危机
SEA-OS-087,OS,开阔大洋,26.24056937040314,123.68689044763373,13.0,36.8,7.89,7.8,1.1,0.44,酸化风险
SEA-EM-088,EM,河口混合区,31.041915954544084,121.24717137600553,25.8,22.2,7.52,5.9,76.6,15.14,泥沙淤积严重
SEA-CB-089,CB,珊瑚礁海域,17.222097242632096,112.77887061951998,32.7,29.8,8.33,5.7,2.7,0.54,高温胁迫
SEA-AF-090,AF,人工渔场/养殖区,23.370091308921182,113.91403741729413,23.8,26.6,8.4,4.2,27.8,17.22,鱼类缺氧危机
SEA-CM-091,CM,海草/海藻床,39.00513215292688,118.29732605554463,20.7,29.0,8.71,7.2,4.9,8.35,碱化趋势
SEA-OS-092,OS,开阔大洋,26.60809941251459,122.184048881332,14.9,40.0,8.14,6.5,1.6,0.4,温度过低警告
SEA-CM-093,CM,海草/海藻床,38.852166767780744,117.7614207534804,21.7,34.4,7.5,7.4,14.8,13.92,酸化趋势
SEA-CM-094,CM,海草/海藻床,38.02424154928779,117.98240291519909,20.8,31.1,7.94,7.1,3.1,8.28,沉积物增加
SEA-CB-095,CB,珊瑚礁海域,19.824888762595794,110.93201502924668,30.5,30.9,8.09,6.2,2.2,0.62,高温胁迫
SEA-CM-096,CM,海草/海藻床,38.90123931345951,119.2649188809122,20.6,33.1,8.24,5.6,7.5,7.5,海草缺氧胁迫
SEA-OS-097,OS,开阔大洋,26.330470653837075,123.54397275972053,15.0,35.3,7.97,5.8,1.1,0.23,酸化风险
SEA-EM-098,EM,河口混合区,31.232999453790168,120.31327687394761,20.0,9.7,8.12,3.9,38.2,14.96,低盐胁迫
SEA-EM-099,EM,河口混合区,30.516863240583636,121.0880331583655,19.8,23.4,7.21,6.6,58.6,9.46,酸化趋势
SEA-CM-100,CM,海草/海藻床,39.930259484253995,118.47678826012988,21.6,27.4,8.48,7.4,7.7,11.35,碱化趋势
SEA-CB-101,CB,珊瑚礁海域,18.96684824605172,116.17015545772514,27.4,32.0,8.06,6.1,4.5,0.37,浑浊度过高
SEA-AF-102,AF,人工渔场/养殖区,23.51989194084655,115.49804140804113,30.8,34.4,8.36,1.8,38.3,5.14,鱼类缺氧危机
SEA-CB-103,CB,珊瑚礁海域,16.007519534099643,111.24860809015131,29.6,29.4,8.39,6.0,3.7,0.23,高温胁迫
SEA-CB-104,CB,珊瑚礁海域,16.091731245072168,112.2547560296043,26.7,34.8,8.53,5.9,4.2,0.9,浑浊度过高
SEA-EM-105,EM,河口混合区,30.598887020983774,120.34696014853192,22.9,16.4,7.82,4.1,63.2,11.89,泥沙淤积严重
SEA-AF-106,AF,人工渔场/养殖区,23.347745819554014,113.16840831024864,24.5,28.7,8.12,5.8,17.4,13.76,藻类过度生长
SEA-AF-107,AF,人工渔场/养殖区,22.196508089111187,115.76786917426337,25.9,31.8,8.28,4.9,20.2,13.19,鱼类缺氧危机
SEA-OS-108,OS,开阔大洋,28.247971389867228,123.03776134250508,18.3,32.7,8.16,5.9,1.1,0.34,微量污染物检出
SEA-AF-109,AF,人工渔场/养殖区,21.434895217139452,115.17546718265335,25.9,25.2,8.19,6.8,25.5,14.48,藻类过度生长
SEA-CM-110,CM,海草/海藻床,39.097677313440116,118.7258003217239,24.0,30.6,7.47,6.0,14.3,9.75,海草缺氧胁迫
SEA-CB-111,CB,珊瑚礁海域,17.42389349517941,116.8464327258147,28.3,39.6,8.31,6.1,2.7,0.47,高盐度胁迫
SEA-CM-112,CM,海草/海藻床,38.1883038202514,118.1873263852182,18.5,27.5,8.1,8.8,12.8,11.14,藻类过度生长
SEA-CB-113,CB,珊瑚礁海域,18.570698630689694,111.37088568810843,26.6,37.1,9.0,4.4,1.6,0.14,高盐度胁迫
SEA-EM-114,EM,河口混合区,30.626323989634564,121.5971865447655,30.6,18.4,7.36,6.0,52.2,18.32,富营养化
SEA-AF-115,AF,人工渔场/养殖区,22.01052150558331,113.88946934384994,25.9,29.5,7.32,5.3,28.5,14.8,酸化趋势
SEA-OS-116,OS,开阔大洋,28.958685202907056,122.57378125374376,14.7,40.0,8.88,6.1,1.5,0.3,温度过低警告
SEA-EM-117,EM,河口混合区,31.732773028502685,120.43105973758266,19.8,12.4,7.74,5.7,42.6,9.43,轻度富营养化
SEA-CM-118,CM,海草/海藻床,38.221978938426965,118.39411108761286,25.8,32.7,7.2,7.9,12.3,13.45,热浪影响
SEA-CM-119,CM,海草/海藻床,39.609813553682876,117.53601311120092,23.5,30.7,8.17,7.9,11.5,7.79,海草覆盖率下降
SEA-CB-120,CB,珊瑚礁海域,19.508957828648803,116.14083233978326,22.8,29.9,8.72,5.4,1.7,0.28,碱化趋势
SEA-EM-121,EM,河口混合区,31.475131498185654,121.05047951504032,20.5,28.8,7.07,7.3,53.1,4.15,酸化趋势
SEA-CM-122,CM,海草/海藻床,39.96768062571088,118.03791789165294,22.2,31.7,8.47,7.0,8.7,1.87,营养不足
SEA-OS-123,OS,开阔大洋,28.148029953405434,124.5624079929515,23.7,37.6,7.0,4.3,2.1,0.17,初级生产力不足
SEA-CB-124,CB,珊瑚礁海域,18.29911821705766,110.20767756145318,28.9,34.1,8.54,5.5,3.3,0.32,碱化趋势
SEA-CM-125,CM,海草/海藻床,39.908066255170084,118.94278690221257,24.5,34.5,8.5,5.6,16.6,6.16,海草缺氧胁迫
SEA-CB-126,CB,珊瑚礁海域,17.650701304333587,114.52267322503545,32.6,36.2,8.09,7.8,3.5,0.22,高温胁迫
SEA-CM-127,CM,海草/海藻床,38.168784761089086,118.29873749678939,22.0,28.7,8.54,8.1,0.0,12.25,碱化趋势
SEA-OS-128,OS,开阔大洋,29.037404103010452,122.2966208529219,18.3,35.1,8.38,3.9,1.7,0.16,初级生产力不足
SEA-CM-129,CM,海草/海藻床,38.20251982923032,119.19427897938758,24.3,32.8,8.1,9.4,12.2,12.98,藻类过度生长
SEA-CB-130,CB,珊瑚礁海域,16.588247402266354,113.41495838034685,28.5,33.7,7.51,5.3,0.5,0.17,珊瑚白化风险
SEA-AF-131,AF,人工渔场/养殖区,21.50501086775739,113.74072228000276,20.5,32.2,7.78,6.0,51.6,1.74,水体浑浊
SEA-CM-132,CM,海草/海藻床,38.414618006375115,119.06477665892018,21.2,34.8,8.16,7.2,14.6,6.53,海草覆盖率下降
SEA-OS-133,OS,开阔大洋,29.17684265019762,122.82730270475408,13.3,31.0,8.22,7.9,0.9,0.4,温度过低警告
SEA-EM-134,EM,河口混合区,31.15455805846626,121.7311542912491,19.2,13.1,7.82,9.1,2.5,28.18,富营养化
SEA-EM-135,EM,河口混合区,31.852765213460174,120.03823218885952,30.5,16.0,8.13,8.9,86.0,11.02,泥沙淤积严重
SEA-EM-136,EM,河口混合区,31.48095226390704,120.28570057460168,21.7,26.8,8.57,7.8,62.6,17.7,泥沙淤积严重
SEA-CB-137,CB,珊瑚礁海域,16.44399239516526,115.65764647006455,27.4,36.1,7.67,4.9,2.8,0.29,珊瑚白化风险
SEA-CM-138,CM,海草/海藻床,38.64299140249577,118.45287397268758,20.0,27.4,7.87,6.7,17.0,5.48,底栖生物多样性降低
SEA-EM-139,EM,河口混合区,31.052556920676405,120.92634543350269,22.2,19.1,8.4,5.1,77.1,21.1,泥沙淤积严重
SEA-EM-140,EM,河口混合区,31.430077437701367,121.18697152595188,19.5,27.8,7.0,5.9,57.8,7.04,酸化趋势
SEA-AF-141,AF,人工渔场/养殖区,23.025420183449004,113.34806804404451,26.8,27.7,7.53,6.2,33.6,12.82,酸化趋势
SEA-EM-142,EM,河口混合区,31.26867947942241,121.99893249643127,20.0,13.4,8.31,6.5,35.1,3.25,悬浮物增加
SEA-CM-143,CM,海草/海藻床,39.46099272191758,118.79542634212584,23.9,33.0,8.28,6.6,15.0,6.55,底栖生物多样性降低
SEA-EM-144,EM,河口混合区,30.535185353455944,121.67096045148439,20.5,20.6,7.0,6.1,62.4,8.09,泥沙淤积严重
SEA-CB-145,CB,珊瑚礁海域,19.09168592750446,113.64907233357897,28.6,34.6,8.81,5.5,2.4,0.27,碱化趋势
SEA-EM-146,EM,河口混合区,30.796010585909006,120.60583145766638,22.3,15.4,7.78,8.0,40.7,20.35,富营养化
SEA-AF-147,AF,人工渔场/养殖区,23.343965567241916,114.73489519826109,24.1,26.7,7.2,4.8,23.4,9.41,鱼类缺氧危机
SEA-EM-148,EM,河口混合区,30.29460608855794,120.01568318154384,19.5,26.3,7.45,6.5,50.3,12.78,酸化趋势
SEA-CB-149,CB,珊瑚礁海域,16.662999119280624,113.11879147119323,31.1,34.9,8.45,5.0,1.8,0.26,高温胁迫
SEA-OS-150,OS,开阔大洋,27.90760042587188,124.15499352611602,19.9,30.3,7.85,6.5,0.8,0.37,酸化风险
SEA-OS-151,OS,开阔大洋,29.392168358405936,124.18658432680984,19.6,31.9,8.25,4.9,0.6,0.2,表层溶解氧波动
SEA-EM-152,EM,河口混合区,30.551095878438968,121.24407912474199,26.5,7.3,8.14,6.5,36.3,9.86,低盐胁迫
SEA-OS-153,OS,开阔大洋,27.7204115061192,124.71127271532542,18.9,39.4,8.28,5.9,0.9,0.38,高盐度胁迫
SEA-EM-154,EM,河口混合区,30.590483604979283,121.75899314145626,17.7,9.7,8.02,7.1,20.1,17.11,富营养化
SEA-OS-155,OS,开阔大洋,28.12808671593701,123.77129326946807,15.9,33.1,7.88,6.4,1.7,0.08,初级生产力不足
SEA-CB-156,CB,珊瑚礁海域,18.438524046627606,116.27228559760053,26.0,36.0,7.97,6.2,3.2,0.28,微量白化现象
SEA-EM-157,EM,河口混合区,31.561263434851114,121.16754556102822,29.0,21.9,8.24,4.8,26.8,15.34,富营养化
SEA-OS-158,OS,开阔大洋,28.778381709013143,124.18694318496745,10.6,37.4,8.09,7.4,1.1,0.22,温度过低警告
SEA-AF-159,AF,人工渔场/养殖区,22.141553129609683,113.48910601079477,27.1,33.2,7.92,7.5,19.3,18.28,藻类过度生长
SEA-CM-160,CM,海草/海藻床,39.60000696352736,118.60541415143709,20.2,32.4,7.9,6.8,9.3,10.23,藻类过度生长
SEA-CM-161,CM,海草/海藻床,39.09771733015471,118.07526545808736,21.0,26.5,7.61,8.6,7.4,11.02,酸化趋势
SEA-CB-162,CB,珊瑚礁海域,17.495684188051253,116.61114007886013,31.3,38.4,7.88,5.8,2.5,0.33,珊瑚白化风险
SEA-CB-163,CB,珊瑚礁海域,16.717458728048843,116.79473581786822,26.4,30.4,8.51,6.4,1.8,0.2,碱化趋势
SEA-EM-164,EM,河口混合区,31.937074663399784,121.20727440111875,19.4,12.9,7.35,5.8,78.3,6.96,泥沙淤积严重
SEA-EM-165,EM,河口混合区,31.195336565405405,121.73219126722339,25.8,9.1,8.2,7.6,26.1,9.15,低盐胁迫
SEA-OS-166,OS,开阔大洋,29.359206426657707,122.56562181724776,16.6,34.4,8.3,5.0,0.7,0.32,表层溶解氧波动
SEA-OS-167,OS,开阔大洋,29.27347826592535,122.15005573046334,17.0,28.1,8.51,6.1,1.0,0.23,碱化趋势
SEA-EM-168,EM,河口混合区,31.02722209308865,120.50671434011932,20.4,28.8,7.47,6.0,40.1,17.18,富营养化
SEA-AF-169,AF,人工渔场/养殖区,22.6050765137968,113.433162896401,21.8,36.2,8.6,6.3,20.1,25.95,碱性过高
SEA-OS-170,OS,开阔大洋,29.69610748170293,122.33564184964737,17.9,34.6,8.63,5.7,1.2,0.27,碱化趋势
SEA-CB-171,CB,珊瑚礁海域,19.49054321018734,115.7968178030444,30.1,32.4,8.08,6.7,1.8,0.36,高温胁迫
SEA-EM-172,EM,河口混合区,30.689562840145292,120.92368696255022,23.4,15.6,7.75,2.7,62.8,11.42,泥沙淤积严重
SEA-EM-173,EM,河口混合区,30.593573364039703,121.08273922031454,12.4,12.1,8.21,7.4,77.7,10.55,泥沙淤积严重
SEA-OS-174,OS,开阔大洋,27.34269533215624,124.24817135840348,17.7,35.0,8.72,5.5,0.6,0.24,碱化趋势
SEA-OS-175,OS,开阔大洋,29.780456755024034,124.08988181365217,16.9,35.2,8.4,4.6,0.7,0.31,海水层化异常
SEA-AF-176,AF,人工渔场/养殖区,22.88527936984376,115.06589488792363,24.8,30.7,7.96,5.1,50.8,8.98,水体浑浊
SEA-EM-177,EM,河口混合区,30.151399454619575,120.77565217983386,20.7,32.2,8.1,6.1,44.4,15.2,富营养化
SEA-CB-178,CB,珊瑚礁海域,17.490133095038203,110.48099574406773,28.5,26.3,8.17,6.9,2.0,0.13,轻微珊瑚应激
SEA-EM-179,EM,河口混合区,30.70040598218146,121.35494682964695,21.0,18.2,7.88,8.2,57.2,17.46,富营养化
SEA-EM-180,EM,河口混合区,31.51653458411212,120.61380902638913,27.8,5.9,8.8,4.9,50.5,13.43,低盐胁迫
SEA-AF-181,AF,人工渔场/养殖区,22.331577565263903,114.3523288516591,25.0,32.0,8.67,9.2,17.5,19.11,碱性过高
SEA-EM-182,EM,河口混合区,30.126280585854783,121.55358096681445,25.5,21.4,7.54,6.6,61.7,13.01,泥沙淤积严重
SEA-OS-183,OS,开阔大洋,26.80426060819978,123.54260312002802,15.6,40.0,8.02,6.7,0.9,0.49,高盐度胁迫
SEA-CM-184,CM,海草/海藻床,38.636208893806945,119.42231883142033,22.8,32.9,7.9,6.9,1.3,10.88,藻类过度生长
SEA-EM-185,EM,河口混合区,31.276644479583652,121.46600723925671,20.3,9.5,7.88,5.0,30.2,13.29,低盐胁迫
SEA-EM-186,EM,河口混合区,30.92233380250782,121.87986358393964,28.3,28.8,7.0,4.9,69.9,13.46,泥沙淤积严重
SEA-CB-187,CB,珊瑚礁海域,17.655309861283182,111.4291659141777,29.0,32.2,8.37,5.4,3.3,0.48,轻微珊瑚应激
SEA-CM-188,CM,海草/海藻床,39.14521446576404,118.05402504865195,24.1,35.0,7.13,11.7,3.9,6.85,酸化趋势
SEA-CM-189,CM,海草/海藻床,39.994475799807205,117.56005201065878,20.2,35.3,8.11,7.0,13.4,5.87,沉积物增加
SEA-EM-190,EM,河口混合区,30.336236256798593,120.9499019305275,23.9,18.9,8.08,3.7,40.1,14.25,缺氧风险
SEA-EM-191,EM,河口混合区,31.561112053774426,120.60724787628769,18.0,7.5,8.18,8.7,53.6,5.03,低盐胁迫
SEA-EM-192,EM,河口混合区,31.53032065763353,121.8808384146015,18.6,13.5,8.83,3.3,61.9,7.6,泥沙淤积严重
SEA-CM-193,CM,海草/海藻床,39.80659602875142,119.27976745294697,22.5,36.0,8.11,8.0,11.7,0.14,营养不足
SEA-AF-194,AF,人工渔场/养殖区,23.562782366992007,114.47229502013708,26.3,28.8,8.23,5.2,15.8,19.7,藻类过度生长
SEA-CM-195,CM,海草/海藻床,39.17786614989113,119.00335234404584,24.3,38.2,8.04,8.6,19.8,12.21,高盐度胁迫
SEA-OS-196,OS,开阔大洋,28.461014613129656,124.28127293504741,19.1,35.1,8.14,7.1,1.3,0.55,微量污染物检出
SEA-CB-197,CB,珊瑚礁海域,18.005102578502918,110.35170106876087,27.8,31.7,8.97,5.8,1.9,0.54,碱化趋势
SEA-CB-198,CB,珊瑚礁海域,19.205783104891815,112.74465503833201,26.2,35.4,7.58,6.6,2.3,0.24,珊瑚白化风险
SEA-AF-199,AF,人工渔场/养殖区,21.090311616633958,115.88447697372234,23.2,29.2,8.65,4.4,14.8,8.07,鱼类缺氧危机
SEA-AF-200,AF,人工渔场/养殖区,22.328394409631212,113.78314557870455,23.5,29.5,8.42,7.1,19.9,10.32,碱性过高
SEA-EM-201,EM,河口混合区,31.502354273908086,121.50773616541983,23.7,22.2,7.51,7.0,94.8,7.87,泥沙淤积严重
SEA-OS-202,OS,开阔大洋,26.738529829389478,123.02632286259079,23.3,34.0,8.46,5.0,0.4,0.25,异常升温
